127.0.0.1 - - [05/Oct/2021:13:24:52 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [05/Oct/2021:13:24:55 +0530] "GET /log/ HTTP/1.1" 200 775
0:0:0:0:0:0:0:1 - - [05/Oct/2021:13:24:55 +0530] "GET /log/resources/styles/welcome.css;jsessionid=D7B00653FD50BD8CD85A59020CAC88A6 HTTP/1.1" 200 1144
0:0:0:0:0:0:0:1 - - [05/Oct/2021:13:24:55 +0530] "GET /log/resources/styles/bg8.png HTTP/1.1" 200 324616
0:0:0:0:0:0:0:1 - - [05/Oct/2021:13:25:18 +0530] "GET /log/ HTTP/1.1" 200 731
0:0:0:0:0:0:0:1 - - [05/Oct/2021:13:25:18 +0530] "GET /log/resources/styles/welcome.css HTTP/1.1" 200 1144
0:0:0:0:0:0:0:1 - - [05/Oct/2021:13:25:18 +0530] "GET /log/resources/styles/bg8.png HTTP/1.1" 200 324616
0:0:0:0:0:0:0:1 - - [05/Oct/2021:13:25:22 +0530] "GET /log/login HTTP/1.1" 200 728
0:0:0:0:0:0:0:1 - - [05/Oct/2021:13:25:22 +0530] "GET /log/resources/styles/login.css HTTP/1.1" 200 808
0:0:0:0:0:0:0:1 - - [05/Oct/2021:13:25:31 +0530] "POST /log/j_spring_security_check HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [05/Oct/2021:13:25:31 +0530] "GET /log/dashboard HTTP/1.1" 200 1269
0:0:0:0:0:0:0:1 - - [05/Oct/2021:13:25:31 +0530] "GET /log/resources/styles/dashboard.css HTTP/1.1" 200 1141
0:0:0:0:0:0:0:1 - - [05/Oct/2021:13:25:31 +0530] "GET /log/resources/styles/med1.jpg HTTP/1.1" 200 8155
0:0:0:0:0:0:0:1 - - [05/Oct/2021:13:25:31 +0530] "GET /log/resources/styles/expert_advice.jpeg HTTP/1.1" 200 11168
0:0:0:0:0:0:0:1 - - [05/Oct/2021:13:25:31 +0530] "GET /log/resources/styles/aq.jpeg HTTP/1.1" 200 43521
