127.0.0.1 - - [09/Nov/2021:12:13:02 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [09/Nov/2021:12:13:13 +0530] "GET /log/ HTTP/1.1" 200 814
0:0:0:0:0:0:0:1 - - [09/Nov/2021:12:13:13 +0530] "GET /log/resources/styles/welcome.css HTTP/1.1" 200 1333
0:0:0:0:0:0:0:1 - - [09/Nov/2021:12:13:13 +0530] "GET /log/resources/styles/wel.jpg HTTP/1.1" 200 1861596
0:0:0:0:0:0:0:1 - - [09/Nov/2021:12:13:27 +0530] "GET /log/login HTTP/1.1" 200 741
0:0:0:0:0:0:0:1 - - [09/Nov/2021:12:13:27 +0530] "GET /log/resources/styles/login.css HTTP/1.1" 200 1344
0:0:0:0:0:0:0:1 - - [09/Nov/2021:12:13:33 +0530] "POST /log/j_spring_security_check HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [09/Nov/2021:12:13:35 +0530] "GET /log/dashboard HTTP/1.1" 200 1062
0:0:0:0:0:0:0:1 - - [09/Nov/2021:12:13:35 +0530] "GET /log/resources/styles/dashboard.css HTTP/1.1" 200 1501
0:0:0:0:0:0:0:1 - - [09/Nov/2021:12:13:35 +0530] "GET /log/resources/styles/bg6.jpg HTTP/1.1" 200 807364
0:0:0:0:0:0:0:1 - - [09/Nov/2021:12:13:44 +0530] "GET /log/user/productform HTTP/1.1" 200 2336
0:0:0:0:0:0:0:1 - - [09/Nov/2021:12:13:44 +0530] "GET /log/resources/styles/productform.css HTTP/1.1" 200 1847
0:0:0:0:0:0:0:1 - - [09/Nov/2021:12:13:44 +0530] "GET /log/resources/styles/123.jpg HTTP/1.1" 200 2299893
0:0:0:0:0:0:0:1 - - [09/Nov/2021:12:13:59 +0530] "POST /log/user/getproduct HTTP/1.1" 400 762
0:0:0:0:0:0:0:1 - - [09/Nov/2021:12:14:03 +0530] "GET /log/resources/styles/productform.css HTTP/1.1" 200 1847
0:0:0:0:0:0:0:1 - - [09/Nov/2021:12:14:10 +0530] "GET /log/ HTTP/1.1" 200 1062
0:0:0:0:0:0:0:1 - - [09/Nov/2021:12:14:10 +0530] "GET /log/resources/styles/dashboard.css HTTP/1.1" 200 1501
0:0:0:0:0:0:0:1 - - [09/Nov/2021:12:14:10 +0530] "GET /log/resources/styles/bg6.jpg HTTP/1.1" 200 807364
0:0:0:0:0:0:0:1 - - [09/Nov/2021:12:14:14 +0530] "GET /log/user/ask_q HTTP/1.1" 200 1999
0:0:0:0:0:0:0:1 - - [09/Nov/2021:12:14:14 +0530] "GET /log/resources/styles/register.css HTTP/1.1" 200 1556
0:0:0:0:0:0:0:1 - - [09/Nov/2021:12:14:14 +0530] "GET /log/resources/styles/tt.jpg HTTP/1.1" 200 1125395
0:0:0:0:0:0:0:1 - - [09/Nov/2021:12:14:35 +0530] "POST /log/user/add_q/ HTTP/1.1" 200 1546
0:0:0:0:0:0:0:1 - - [09/Nov/2021:12:14:35 +0530] "GET /log/resources/styles/register.css HTTP/1.1" 200 1556
0:0:0:0:0:0:0:1 - - [09/Nov/2021:12:14:35 +0530] "GET /log/user/resources/styles/tt.jpg HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [09/Nov/2021:12:14:38 +0530] "GET /log/ HTTP/1.1" 200 1062
0:0:0:0:0:0:0:1 - - [09/Nov/2021:12:14:38 +0530] "GET /log/resources/styles/dashboard.css HTTP/1.1" 200 1501
